CustomerKey;GeographyKey;CustomerLabel;Title;FirstName;MiddleName;LastName;NameStyle;BirthDate;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;Education;Occupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CustomerType;CompanyName;ETLLoadID;LoadDate;UpdateDate
5608;596;16607;NULL;Logan;NULL;Gonzales;0;1975-08-27;M;NULL;M;logan18@adventure-works.com;70000,00;0;0;Bachelors;Professional;1;3;8200 Showtime Court;NULL;1 (11) 500 555-0111;2001-07-08;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
3561;582;14560;NULL;Kelvin;NULL;Huang;0;1970-10-02;M;NULL;M;kelvin25@adventure-works.com;50000,00;1;1;Bachelors;Skilled Manual;1;1;410 Cardinet Drive;NULL;711-555-0119;2001-07-08;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2259;641;13258;NULL;Anne;NULL;Dominguez;0;1957-03-03;M;NULL;F;anne14@adventure-works.com;130000,00;2;4;Partial College;Professional;1;2;Bundesallee 4;NULL;1 (11) 500 555-0139;2001-07-08;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
26;637;11025;NULL;Alejandro;NULL;Beck;0;1945-12-23;M;NULL;M;alejandro45@adventure-works.com;10000,00;2;1;Partial High School;Clerical;1;2;2596 Franklin Canyon Road;NULL;1 (11) 500 555-0178;2001-07-09;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
239;588;11238;NULL;Mayra;NULL;Prasad;0;1958-08-10;S;NULL;F;mayra9@adventure-works.com;130000,00;2;3;Bachelors;Management;0;4;1119 Elderwood Dr.;#3;1 (11) 500 555-0116;2001-07-09;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5630;509;16629;NULL;Rosa;G;Zheng;0;1972-09-13;S;NULL;F;rosa19@adventure-works.com;110000,00;0;5;High School;Management;1;4;2391 St. Peter Court;NULL;1 (11) 500 555-0195;2001-07-09;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16667;631;27666;NULL;Alyssa;L;Garcia;0;1954-07-26;M;NULL;F;alyssa16@adventure-works.com;60000,00;3;0;Partial High School;Skilled Manual;1;2;5975 Grove Way;NULL;197-555-0115;2001-07-09;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16578;535;27577;NULL;Patrick;K;Cook;0;1958-06-04;S;NULL;M;patrick26@adventure-works.com;60000,00;1;0;Bachelors;Professional;0;1;3488 Cook St.;NULL;979-555-0159;2001-07-09;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
14862;707;25861;NULL;Garrett;C;Cooper;0;1945-02-26;M;NULL;M;garrett13@adventure-works.com;30000,00;5;0;Partial High School;Skilled Manual;1;4;5854 Lombardy Lane;NULL;150-555-0160;2001-07-09;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16605;535;27604;NULL;Richard;NULL;Brooks;0;1957-03-03;M;NULL;M;richard81@adventure-works.com;60000,00;2;0;High School;Professional;1;2;5005 Appalachian Dr.;NULL;163-555-0120;2001-07-10;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5523;599;16522;NULL;Casey;NULL;Pal;0;1979-07-05;M;NULL;F;casey13@adventure-works.com;10000,00;1;1;High School;Manual;1;0;2190 Rock Creek Way;NULL;1 (11) 500 555-0137;2001-07-10;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
3;493;11002;NULL;Ruben;NULL;Torres;0;1965-08-12;M;NULL;M;ruben35@adventure-works.com;60000,00;3;3;Bachelors;Professional;1;1;5844 Linden Land;NULL;1 (11) 500 555-0184;2001-07-10;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
607;661;11606;NULL;Melody;NULL;Ramos;0;1975-02-03;S;NULL;F;melody17@adventure-works.com;10000,00;0;0;Partial High School;Manual;0;2;2, rue de la Comédie;NULL;1 (11) 500 555-0182;2001-07-11;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2262;674;13261;NULL;Lindsey;S;Andersen;0;1957-04-05;M;NULL;F;lindsey14@adventure-works.com;130000,00;3;4;Partial College;Professional;0;2;Auf dem Ufer 764;NULL;1 (11) 500 555-0178;2001-07-11;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2564;698;13563;NULL;Phillip;M;Sai;0;1969-08-01;M;NULL;M;phillip6@adventure-works.com;50000,00;0;0;Graduate Degree;Skilled Manual;0;0;3141 Jalalon Place;NULL;1 (11) 500 555-0146;2001-07-11;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5528;512;16527;NULL;Cory;O;Arun;0;1978-06-20;S;NULL;M;cory5@adventure-works.com;20000,00;0;0;Bachelors;Clerical;1;0;5455 Grenola Dr;NULL;1 (11) 500 555-0118;2001-07-11;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5632;680;16631;NULL;Haley;J;Ward;0;1971-03-20;S;NULL;F;haley13@adventure-works.com;90000,00;0;0;Bachelors;Professional;1;4;6071 Mi Casa Court;NULL;1 (11) 500 555-0155;2001-07-12;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2577;506;13576;NULL;Tamara;NULL;Lal;0;1944-12-22;S;NULL;F;tamara20@adventure-works.com;160000,00;3;4;Bachelors;Management;0;3;2697 Mt. Everest Ct.;NULL;1 (11) 500 555-0171;2001-07-12;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
8;568;11007;NULL;Marco;NULL;Mehta;0;1964-05-09;M;NULL;M;marco14@adventure-works.com;60000,00;3;3;Bachelors;Professional;1;2;942 Brook Street;NULL;1 (11) 500 555-0126;2001-07-12;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16672;577;27671;NULL;Jeremiah;D;Martinez;0;1953-03-04;S;NULL;M;jeremiah8@adventure-works.com;70000,00;3;0;Graduate Degree;Management;0;2;9963 Pacific;NULL;400-555-0193;2001-07-12;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5617;531;16616;NULL;Kelvin;L;Liang;0;1974-06-06;S;NULL;M;kelvin35@adventure-works.com;90000,00;0;0;Bachelors;Professional;0;2;6684 Galloway Drive;NULL;1 (11) 500 555-0176;2001-07-13;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5515;655;16514;NULL;Manuel;A;Fernandez;0;1980-01-11;S;NULL;M;manuel14@adventure-works.com;10000,00;0;0;Partial College;Manual;1;1;251 Ravenwood Dr.;NULL;1 (11) 500 555-0117;2001-07-13;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5483;425;16482;NULL;Tabitha;E;Arthur;0;1950-05-15;M;NULL;F;tabitha5@adventure-works.com;30000,00;3;0;Partial College;Clerical;0;2;6992 Mt. View Drive;NULL;1 (11) 500 555-0169;2001-07-14;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
592;564;11591;NULL;Stacey;W;Lu;0;1963-05-16;S;NULL;F;stacey12@adventure-works.com;30000,00;3;3;Partial College;Clerical;1;0;67, avenue de l´ Union Centrale;NULL;1 (11) 500 555-0157;2001-07-14;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
593;529;11592;NULL;Darrell;T;Raji;0;1978-09-04;S;NULL;M;darrell9@adventure-works.com;20000,00;0;0;High School;Manual;0;1;68, impasse Notre-Dame;NULL;1 (11) 500 555-0178;2001-07-14;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2266;674;13265;NULL;Luke;C;Adams;0;1956-01-22;S;NULL;M;luke46@adventure-works.com;120000,00;3;4;High School;Professional;1;4;Hellweg 4754;NULL;1 (11) 500 555-0111;2001-07-14;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16624;505;27623;NULL;Christian;L;Jackson;0;1956-12-03;S;NULL;M;christian47@adventure-works.com;80000,00;3;0;Partial College;Professional;0;1;6059 Dutch Slough Rd.;NULL;766-555-0176;2001-07-14;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16626;644;27625;NULL;Alexandria;W;Hughes;0;1956-04-01;S;NULL;F;alexandria11@adventure-works.com;90000,00;2;1;Partial College;Professional;0;0;3407 Oak Brook Place;NULL;638-555-0128;2001-07-14;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16637;495;27636;NULL;Paige;NULL;Murphy;0;1962-10-05;M;NULL;F;paige39@adventure-works.com;100000,00;1;2;Partial College;Professional;1;3;8650 Branch Street;NULL;762-555-0198;2001-07-14;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16618;522;27617;NULL;Morgan;NULL;Phillips;0;1964-01-23;S;NULL;F;morgan4@adventure-works.com;90000,00;0;0;Partial College;Professional;0;1;9191 Camelback Ct.;NULL;179-555-0167;2001-07-15;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16671;670;27670;NULL;Kayla;W;Long;0;1953-07-08;S;NULL;F;kayla33@adventure-works.com;70000,00;3;0;Graduate Degree;Management;0;2;2597 Sand Pointe Lane;NULL;156-555-0146;2001-07-15;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
18;699;11017;NULL;Shannon;NULL;Wang;0;1944-06-26;S;NULL;F;shannon1@adventure-works.com;20000,00;4;0;High School;Skilled Manual;1;2;7330 Saddlehill Lane;NULL;1 (11) 500 555-0195;2001-07-15;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
8942;506;19941;NULL;Cedric;R;Liang;0;1949-03-11;S;NULL;M;cedric16@adventure-works.com;160000,00;3;5;High School;Management;0;4;2023 Flame Drive;NULL;1 (11) 500 555-0192;2001-07-15;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5494;692;16493;NULL;Brenda;L;Fernandez;0;1953-11-05;M;NULL;F;brenda19@adventure-works.com;40000,00;3;0;Partial College;Skilled Manual;1;2;6908 Laguna Circle;NULL;1 (11) 500 555-0111;2001-07-16;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5353;634;16352;NULL;Tiffany;E;Gao;0;1954-08-06;S;NULL;F;tiffany15@adventure-works.com;80000,00;2;0;Partial College;Skilled Manual;1;2;3549 Peachwillow St.;NULL;1 (11) 500 555-0199;2001-07-16;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2258;639;13257;NULL;Jon;L;Chander;0;1957-07-06;M;NULL;M;jon12@adventure-works.com;130000,00;2;4;Partial College;Professional;1;2;Auf Der Steige 123;NULL;1 (11) 500 555-0170;2001-07-16;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16647;494;27646;NULL;Jackson;L;Li;0;1961-11-13;S;NULL;M;jackson28@adventure-works.com;130000,00;1;3;Bachelors;Management;0;2;7182 Benedict Ct;NULL;584-555-0167;2001-07-16;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16579;645;27578;NULL;Courtney;NULL;Carter;0;1958-11-08;M;NULL;F;courtney8@adventure-works.com;60000,00;1;0;Bachelors;Professional;1;1;6681 Golf Club Rd.;NULL;172-555-0126;2001-07-17;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
11;478;11010;NULL;Jacquelyn;C;Suarez;0;1964-02-06;S;NULL;F;jacquelyn20@adventure-works.com;70000,00;0;0;Bachelors;Professional;0;1;7800 Corrinne Court;NULL;1 (11) 500 555-0169;2001-07-17;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5526;634;16525;NULL;Martha;NULL;Liang;0;1978-05-25;M;NULL;F;martha16@adventure-works.com;20000,00;0;0;Bachelors;Clerical;0;0;2987 Wiget Lane;NULL;1 (11) 500 555-0131;2001-07-17;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5613;509;16612;NULL;Ebony;E;Ashe;0;1975-08-22;S;NULL;F;ebony31@adventure-works.com;90000,00;0;0;Bachelors;Professional;0;2;1956 Pine Drive;NULL;1 (11) 500 555-0123;2001-07-17;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5519;471;16518;NULL;Krystal;NULL;Holt;0;1976-06-19;S;NULL;F;krystal6@adventure-works.com;10000,00;1;1;High School;Manual;0;0;6119 Grasswood Circle;NULL;1 (11) 500 555-0163;2001-07-18;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2;692;11001;NULL;Eugene;L;Huang;0;1965-05-14;S;NULL;M;eugene10@adventure-works.com;60000,00;3;3;Bachelors;Professional;0;1;2243 W St.;NULL;1 (11) 500 555-0110;2001-07-18;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
28;568;11027;NULL;Jessie;R;Zhao;0;1946-12-07;M;NULL;M;jessie16@adventure-works.com;30000,00;2;0;Partial College;Clerical;1;2;213 Valencia Place;NULL;1 (11) 500 555-0184;2001-07-19;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
3560;652;14559;NULL;Ashley;NULL;Washington;0;1970-09-21;M;NULL;F;ashley40@adventure-works.com;50000,00;1;1;Bachelors;Skilled Manual;1;0;5456 Old Oak Drive;NULL;202-555-0164;2001-07-19;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5527;699;16526;NULL;Arthur;L;Perez;0;1978-10-25;S;NULL;M;arthur22@adventure-works.com;20000,00;0;0;Bachelors;Clerical;1;0;5972 Donegal Court;NULL;1 (11) 500 555-0111;2001-07-19;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5525;637;16524;NULL;Damien;NULL;Huang;0;1979-07-24;M;NULL;M;damien4@adventure-works.com;20000,00;0;0;Bachelors;Clerical;1;0;5484 Viking Dr;NULL;1 (11) 500 555-0114;2001-07-19;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5349;634;16348;NULL;Roy;NULL;Raman;0;1954-07-04;M;NULL;M;roy12@adventure-works.com;80000,00;2;0;Partial College;Skilled Manual;1;2;5246 Premier Place;NULL;1 (11) 500 555-0136;2001-07-19;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16615;583;27614;NULL;Warren;NULL;Ye;0;1956-07-08;M;NULL;M;warren25@adventure-works.com;60000,00;2;0;High School;Professional;0;2;4224 Almond Avve;NULL;381-555-0192;2001-07-19;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16650;693;27649;NULL;Evan;C;Bailey;0;1955-06-08;M;NULL;M;evan17@adventure-works.com;60000,00;2;0;High School;Professional;0;2;8546 Wilson Court;NULL;572-555-0125;2001-07-19;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
10660;490;21659;NULL;Gabrielle;B;Jenkins;0;1963-06-25;M;NULL;F;gabrielle29@adventure-works.com;60000,00;3;2;Graduate Degree;Professional;1;0;1661 Beauty St.;NULL;625-555-0151;2001-07-19;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
14253;468;25252;NULL;Warren;L;Zhang;0;1956-04-04;S;NULL;M;warren17@adventure-works.com;80000,00;1;0;Partial College;Skilled Manual;0;1;3905 Harvard Drive;NULL;1 (11) 500 555-0191;2001-07-20;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5516;493;16515;NULL;Troy;NULL;Sai;0;1980-02-04;M;NULL;M;troy6@adventure-works.com;10000,00;0;0;Partial College;Manual;0;1;458 Union St;NULL;1 (11) 500 555-0126;2001-07-20;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
19;425;11018;NULL;Clarence;D;Rai;0;1944-10-09;S;NULL;M;clarence32@adventure-works.com;30000,00;2;0;Partial College;Clerical;1;2;244 Rivewview;NULL;1 (11) 500 555-0137;2001-07-20;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2261;517;13260;NULL;James;V;Flores;0;1957-10-09;M;NULL;M;james28@adventure-works.com;130000,00;3;4;Partial College;Professional;1;2;Helsenbergbogen 6;NULL;1 (11) 500 555-0147;2001-07-20;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
600;503;11599;NULL;Melody;NULL;Diaz;0;1977-09-16;S;NULL;F;melody3@adventure-works.com;20000,00;0;0;High School;Manual;0;1;Attaché de Presse;NULL;1 (11) 500 555-0114;2001-07-21;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5517;561;16516;NULL;Melvin;NULL;She;0;1980-07-27;M;NULL;M;melvin0@adventure-works.com;20000,00;0;0;Bachelors;Clerical;1;0;2551 Damascus Loop;NULL;1 (11) 500 555-0113;2001-07-21;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5496;568;16495;NULL;Monique;NULL;Ramos;0;1954-08-08;S;NULL;F;monique14@adventure-works.com;80000,00;2;0;Partial College;Skilled Manual;0;2;3207 Mario Way;NULL;1 (11) 500 555-0111;2001-07-21;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5621;558;16620;NULL;Cameron;M;Thompson;0;1973-05-16;M;NULL;M;cameron33@adventure-works.com;90000,00;0;0;Bachelors;Professional;1;3;9080 San Carlos Avenue;NULL;1 (11) 500 555-0141;2001-07-21;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5624;534;16623;NULL;Andres;L;Lal;0;1973-09-04;S;NULL;M;andres5@adventure-works.com;150000,00;5;5;Bachelors;Professional;1;4;4976 Singingwood Court;NULL;1 (11) 500 555-0127;2001-07-22;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5485;553;16484;NULL;Dustin;A;Lal;0;1950-02-07;M;NULL;M;dustin8@adventure-works.com;40000,00;2;0;Partial College;Clerical;0;2;3193 Mehaffey Way;NULL;1 (11) 500 555-0119;2001-07-22;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
602;564;11601;NULL;Ivan;S;Raman;0;1977-08-21;S;NULL;M;ivan8@adventure-works.com;30000,00;0;0;Partial College;Clerical;1;1;335, rue Basse-du-Rocher;NULL;1 (11) 500 555-0119;2001-07-22;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
608;529;11607;NULL;Clinton;H;Moreno;0;1975-05-09;S;NULL;M;clinton3@adventure-works.com;20000,00;0;0;High School;Manual;1;1;610, rue des Rosiers;NULL;1 (11) 500 555-0152;2001-07-22;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
